GeneName,log2FoldChange,pvalue,padj
SYT13,3.633506222171484,6.002445540974019e-15,9.003668311461028e-14
CACNA1H,3.13243433685894,1.193919425116416e-29,1.2755039191660377e-27
TOP2A,3.081921273395413,8.43127986468194e-29,8.188561201910793e-27
GJB2,3.025690015733647,7.4819457282173765e-22,2.821133653992552e-20
CNTNAP2,3.01261753671647,2.714637567314576e-13,3.13716829443866e-12
RET,2.8267209851562773,6.055890678324223e-22,2.3198162897245975e-20
FGFR3,2.68369771351616,6.30231021886967e-17,1.3288752797024534e-15
CDC6,2.604474675290168,1.2058288191379058e-23,5.826152812065811e-22
UBE2C,2.589520892839838,1.865703858049129e-17,4.2208806106217353e-16
PPP2R2C,2.5675664753025838,1.2708605362168467e-11,1.1262049820944683e-10
COMP,2.5076309093187037,2.763124617347969e-11,2.3102124518087587e-10
MMP11,2.444086040685457,1.2798588335328431e-10,9.532023767946e-10
TPX2,2.429288791158671,7.649262311535416e-22,2.872955356461446e-20
RECQL4,2.4275707945576483,2.9824903791596516e-22,1.1948602081508354e-20
BIRC5,2.4133515038196554,2.853668314168173e-16,5.296915220217564e-15
COL11A1,2.4114339678093093,2.2965174147987955e-8,1.142318414034683e-7
TROAP,2.4074797988342884,5.953953823190526e-18,1.413512740987084e-16
MKI67,2.4014376375531357,6.18737148926443e-22,2.351445726058399e-20
MYBL2,2.3853642390088163,2.674061360274456e-15,4.256804632291208e-14
COL10A1,2.3852037607055396,5.292201161571123e-8,2.4617568538222713e-7
S100A9,2.379584578145739,1.1296118244523861e-9,7.043591240019256e-9
CEACAM6,2.378313985525233,6.298560641073146e-8,2.8824683752459923e-7
FAM83D,2.362444932025588,1.1552463633718265e-19,3.386492007262229e-18
CALML5,2.3609763645766026,4.303705341104214e-6,1.4046207350548883e-5
NEK2,2.3424479261627567,2.597575469480865e-14,3.493103236231961e-13
NCAPG,2.3409222970084618,1.4428518120435485e-23,6.902000085969512e-22
MUC5B,2.340768918135586,2.701714828020906e-8,1.3260330817468614e-7
PKMYT1,2.3184395866988643,8.14782341805982e-15,1.197879543801914e-13
ASPM,2.3183467330002676,1.592310427477135e-16,3.0867066048775513e-15
TFF1,2.3112198892972637,2.6925559669005046e-5,7.572075350028766e-5
PLK1,2.300849759012198,1.4716731542341552e-19,4.262089571675121e-18
KIF4A,2.2868763740506717,2.541515094154641e-16,4.763482968868786e-15
